column,unit,definition,applies_to,derivation
m_K,mol/kg water,"Potassium ion molality of the aqueous medium, fully dissociated. Blank means the composition of this medium is not known to us in numbers: either the source prints no composition we can resolve, or the medium contains an ion outside these six (a carbonate, a bicarbonate, a hydroxide) and a partial fill would state a brine that does not balance. All six cells of a row are filled together or blank together; a blank is never a zero, and a zero is never a stand-in for 'not recorded'. Rows in pure water carry six zeros. Where the six are filled they balance charge: m_Na + m_K + 2*m_Ca + 2*m_Mg equals m_Cl + 2*m_SO4 to within 5e-6 mol/kg water, the storage precision of the internal record.","solubility,watercontent,liquidwatercontent,mixtures,phaseboundaries",Copied from the internal audited record without transformation.
m_Ca,mol/kg water,"Calcium ion molality of the aqueous medium, fully dissociated. Blank means the composition of this medium is not known to us in numbers: either the source prints no composition we can resolve, or the medium contains an ion outside these six (a carbonate, a bicarbonate, a hydroxide) and a partial fill would state a brine that does not balance. All six cells of a row are filled together or blank together; a blank is never a zero, and a zero is never a stand-in for 'not recorded'. Rows in pure water carry six zeros. Where the six are filled they balance charge: m_Na + m_K + 2*m_Ca + 2*m_Mg equals m_Cl + 2*m_SO4 to within 5e-6 mol/kg water, the storage precision of the internal record.","solubility,watercontent,liquidwatercontent,mixtures,phaseboundaries",Copied from the internal audited record without transformation.
m_Mg,mol/kg water,"Magnesium ion molality of the aqueous medium, fully dissociated. Blank means the composition of this medium is not known to us in numbers: either the source prints no composition we can resolve, or the medium contains an ion outside these six (a carbonate, a bicarbonate, a hydroxide) and a partial fill would state a brine that does not balance. All six cells of a row are filled together or blank together; a blank is never a zero, and a zero is never a stand-in for 'not recorded'. Rows in pure water carry six zeros. Where the six are filled they balance charge: m_Na + m_K + 2*m_Ca + 2*m_Mg equals m_Cl + 2*m_SO4 to within 5e-6 mol/kg water, the storage precision of the internal record.","solubility,watercontent,liquidwatercontent,mixtures,phaseboundaries",Copied from the internal audited record without transformation.
m_SO4,mol/kg water,"Sulfate ion molality of the aqueous medium, fully dissociated. Blank means the composition of this medium is not known to us in numbers: either the source prints no composition we can resolve, or the medium contains an ion outside these six (a carbonate, a bicarbonate, a hydroxide) and a partial fill would state a brine that does not balance. All six cells of a row are filled together or blank together; a blank is never a zero, and a zero is never a stand-in for 'not recorded'. Rows in pure water carry six zeros. Where the six are filled they balance charge: m_Na + m_K + 2*m_Ca + 2*m_Mg equals m_Cl + 2*m_SO4 to within 5e-6 mol/kg water, the storage precision of the internal record.","solubility,watercontent,liquidwatercontent,mixtures,phaseboundaries",Copied from the internal audited record without transformation.
source_id,-,"Paper-level source key (leading author + year where parseable) plus a gas-domain suffix, always: e.g. culbersonmcketta1950_ch4. Cross-gas identity of same-name-same-year papers is not assumed. One row per source_id in aquasoldb_sources.csv.","solubility,watercontent,liquidwatercontent,mixtures,phaseboundaries,sources","Derived from the internal source id (or, where that carries no year, the internal campaign label) plus the gas-bank tag."
reference,-,Short human-readable reference (e.g. 'Drummond 1981'); full citation in aquasoldb_sources.csv.,"solubility,watercontent,liquidwatercontent,mixtures,phaseboundaries,sources","Read from this project per-gas source trackers, with repository bookkeeping removed; no citation is typed by hand where a DOI resolves."
method,-,"Measurement-method class, controlled vocabulary of ten values (definitions in README): analytical_sampling, manometric_volumetric, chromatography, synthetic_visual, electrochemical, gravimetric, pressure_decrease_mass_balance, calculated_compilation, other, unstated. One value per source, read from the paper itself with source-page verification; where a source prints several tables measured differently, the dominant class is given. 'unstated' means the source was read and does not say. 'pending' means the method has not yet been classified.","solubility,watercontent,liquidwatercontent,mixtures,phaseboundaries","Resolved per SOURCE, not per row: the class recorded for that source in this project method campaign, then carried onto every row of the source."
flags,-,"Semicolon-separated row-status flags: from_compilation, digitized_from_figure, printed_defect, suspect_value, replicate. Empty = clean. 'replicate' means the paper prints this measurement more than once; both rows are kept. Definitions in README.","solubility,watercontent,liquidwatercontent,mixtures,phaseboundaries","Mapped from the internal conversion flags through a fixed, closed table (printed in the build log): several internal tokens can raise one public flag, and every internal token outside the table raises none. Flags that record a row role in a model fit are not published. 'replicate' is the one flag no internal token raises: it is derived at build time on every member of a group of rows that are identical, cell for cell, on every column of one internal file except that file's own row id."
solubility_mole_fraction,mol/mol,Dissolved-gas mole fraction in the aqueous phase (basis as resolved during normalization).,"solubility,mixtures",Copied from the internal audited record without transformation.
solubility_mol_per_kgw,mol/kg water,Dissolved-gas molality.,"solubility,mixtures",Copied from the internal audited record without transformation.
water_mole_fraction_vapor,mol/mol,Water mole fraction in the gas/vapour phase; empty where the source provides only a non-mole-fraction printed form.,watercontent,Copied from the internal audited record without transformation.
water_mole_fraction_liquid_hydrocarbon,mol/mol,Water mole fraction in a hydrocarbon-rich liquid phase; this is neither gas dissolved in aqueous water nor water in a gas/vapour phase.,liquidwatercontent,Copied from the internal audited record without transformation.
gas2,-,"Second gas of the mixture pair, where identifiable from the audited record; empty otherwise.",mixtures,"INFERRED, not transcribed: a bounded search for a gas name in the internal source id and the opening of the internal notes, which fills the cell only when exactly one non-primary gas name is found and leaves it empty otherwise. The hydrogen mixture rows are the exception: their partner gas is taken from the pairing the source states."
gas2_mole_fraction_feed,mol/mol,"Feed (charged) mole fraction of gas2, filled only where the source prints the feed ratio; empty otherwise.",mixtures,"Read from the printed feed ratio (a panel caption, table heading or row note) through a fixed set of patterns; never estimated."
boundary_type,-,"Phase-boundary class: dew_point, bubble_point, hydrate, three_phase; empty where the available source record does not resolve the branch (e.g. isopleth crossings).",phaseboundaries,"INFERRED from the wording of the internal notes, unit string, flags and identifiers -- hydrate wording gives hydrate, unambiguous dew or bubble wording gives that branch, three-phase wording gives three_phase -- and left empty when the wording settles nothing."
value_as_printed,-,"The solubility, water-content or boundary quantity exactly as the source printed it. This column is deliberately not numeric: it holds numbers, numbers with a printed uncertainty such as 0.0014(1), decimal commas such as 0,0149, prose the source printed instead of a digit, and two labels -- ILLEGIBLE (the printed cell could not be read and is never guessed) and NOT PRINTED (the source gives the quantity in some other form). It never holds an internal marker of this project own.","solubility,watercontent,liquidwatercontent,mixtures,phaseboundaries",Copied from the internal audited record without transformation.
unit_as_printed,-,The printed unit/basis wording for value_as_printed.,"solubility,watercontent,liquidwatercontent,mixtures,phaseboundaries",Copied from the internal audited record without transformation.
year,-,Publication year.,sources,"Taken from the short reference where that carries a year, otherwise from the tracker citation, otherwise from the source key."
source_type,-,"What kind of publication the source is, one word of six: journal, thesis, report, compilation, conference, book-chapter. Every source carries exactly one; the cell is never empty. `compilation` means the values were read out of a compiled or evaluated secondary source -- an IUPAC Solubility Data Series volume, say, or a later paper's literature table -- rather than out of the paper that first printed them; the reference text names both. At v1.0 no source is `book-chapter`; the word is in the vocabulary and the count is zero.",sources,"Decided by the build, in this order. (1) Where a tracker row this build reads states a no-DOI reason in the written form `no DOI (<class>)`, that written class decides. (2) Otherwise the published citation's own shape decides. Both routes use ONE keyword table, tried in the order thesis, report, conference, compilation, book-chapter, and the first family that matches wins. (3) `journal` is the last resort: authors, a year and a venue, with nothing saying otherwise. On the citation route `compilation` is narrow on purpose -- 'data reproduced from', 'compiled in', or a Solubility Data Series volume cited as the venue -- so a journal paper merely annotated with a compilation's volume number stays a journal."
doi,-,"DOI, empty where none exists (theses, pre-DOI journals).",sources,"Extracted from the tracker full citation text. The identifier is taken WHOLE: a DOI suffix may legally contain ';' and ',' and the reader no longer stops at either (KI-158), because a truncated identifier resolves to nothing while still looking like a DOI."
url,-,A resolvable record for a source that has no DOI -- a thesis repository or report archive entry -- empty otherwise. A source that carries a DOI never carries a url as well: the DOI is the resolvable record there. At v1.0 this column is empty on every source; it is the place such a record goes as they are found.,sources,"READ, never constructed: the first `https://` locator printed on the tracker row this build reads for the source, with trailing sentence punctuation removed. The build never composes a URL from an institution name, and never publishes an insecure `http://` one."
n_solubility,rows,Computed row count contributed to aquasoldb_solubility.csv.,sources,Counted over the built file.
n_watercontent,rows,Computed row count contributed to aquasoldb_watercontent.csv.,sources,Counted over the built file.
n_liquidwatercontent,rows,Computed row count contributed to aquasoldb_liquidwatercontent.csv.,sources,Counted over the built file.
n_mixtures,rows,Computed row count contributed to aquasoldb_mixtures.csv.,sources,Counted over the built file.
n_phaseboundaries,rows,Computed row count contributed to aquasoldb_phaseboundaries.csv.,sources,Counted over the built file.
